dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident,emotionmean
36,"00:15:16,165 --> 00:15:19,009
","- I'll give you the top of the head.
- Hey you, get down!
",0.197287,0.467377,0.061633,0.082947,0.035782,0.674484,0.574034,0.859668,0.881418,0.919381,0,0,0,
37,"00:15:19,127 --> 00:15:22,006
","- But we're having such fun.
- We enjoy the playground.
",0.010372,0.914437,0.005525,0.016862,0.018421,0.321122,0.162538,0.838875,0.69914,0.324835,0,0,0,
38,"00:15:22,088 --> 00:15:25,012
","See, it keeps us deprived children
off of the foul city streets.
",0.087956,0.01322,0.185647,0.300171,0.617062,0.483125,0.045834,0.555637,0.214762,0.176969,0,0,0,
39,"00:15:25,091 --> 00:15:26,138
","Shut up!
",0.354995,0.018276,0.069464,0.627441,0.053798,0.216281,0.274686,0.596846,0.545987,0.280882,0,0,0,
40,"00:15:26,217 --> 00:15:28,060
","And born like we was
on the hot pavement.
",0.19298,0.248257,0.094278,0.162375,0.251887,0.864171,0.107904,0.194833,0.507565,0.494744,0,0.920133,0,
41,"00:15:28,136 --> 00:15:30,935
","- You wanna get your skull broke?
- Hey, Baby John, come here!
",0.441278,0.030424,0.22324,0.147826,0.286748,0.246248,0.453235,0.890968,0.895089,0.609984,0,0,0,
42,"00:15:31,681 --> 00:15:32,853
","Come here!
",0.224365,0.328297,0.131888,0.123147,0.073811,0.297472,0.27525,0.601232,0.545679,0.275607,0,0,0,
43,"00:15:37,395 --> 00:15:38,738
","All right!
",0,1,0,0,0,0.595884,0.324636,0.635283,0.638687,0.470529,0,0,0.996934,
44,"00:15:38,855 --> 00:15:41,324
","Now, which one of these
Puerto Ricans bloodied you?
",0.417577,0.011964,0.183772,0.365446,0.195366,0.64772,0.510419,0.495492,0.534643,0.439878,0,0,0,
45,"00:15:42,984 --> 00:15:44,861
",#NAME?,0.429813,0.123494,0.153919,0.16402,0.119249,0.325491,0.135888,0.620274,0.329939,0.264437,0,0,0,
46,"00:15:45,319 --> 00:15:46,866
","Excuse me, sir.
",0.238407,0.01553,0.091479,0.310499,0.5347,0.327022,0.276359,0.60349,0.555619,0.228993,0,0,0,
47,"00:15:47,113 --> 00:15:48,865
","As a matter of fact...
",0.346317,0.040671,0.170148,0.164343,0.410346,0.45451,0.301828,0.499274,0.451426,0.330781,0.999954,0,0,
48,"00:15:49,198 --> 00:15:52,202
","we suspicion that the
job was done by a cop.
",0.110041,0.025629,0.538672,0.182454,0.310461,0.922651,0.536791,0.718212,0.673792,0.959059,0,0,0,
49,"00:15:52,743 --> 00:15:54,120
",#NAME?,0.453163,0.003772,0.260371,0.13768,0.31889,0.515885,0.175996,0.704717,0.265786,0.637511,0.999552,0,0,
50,"00:15:54,203 --> 00:15:55,170
","Impossible.
",0.9,0,0,0,0,0.284196,0.274434,0.599483,0.543324,0.290056,0.997482,0,0.996934,
51,"00:15:55,246 --> 00:15:58,090
","In America, nothing is impossible.
",0.353965,0.252529,0.091049,0.089258,0.109995,0.248143,0.264326,0.500719,0.437883,0.179909,0.882284,0.650466,0,
52,"00:15:59,083 --> 00:16:00,881
","All right, wise guys...
",0.054156,0.550684,0.076171,0.141098,0.06424,0.678854,0.395886,0.686495,0.825208,0.601156,0,0,0.97759,
53,"00:16:01,544 --> 00:16:03,137
","now, you listen to me!
",0.054093,0.634563,0.047413,0.137579,0.01306,0.348259,0.407832,0.681656,0.662695,0.238018,0,0,0,
54,"00:16:03,212 --> 00:16:04,555
","All of you!
",0.265254,0.217721,0.158064,0.177193,0.128116,0.818175,0.37406,0.638532,0.61174,0.563366,0,0,0.989586,
55,"00:16:05,131 --> 00:16:07,225
","You hoodlums don't own these streets.
",0.237655,0.006017,0.375735,0.385981,0.195814,0.398324,0.422043,0.377705,0.4474,0.282313,0,0,0,
56,"00:16:07,300 --> 00:16:10,804
","And I've had all the roughhouse I'm
gonna put up with around here!
",0.163854,0.212074,0.207393,0.252347,0.144216,0.475349,0.2751,0.496621,0.629935,0.017061,0,0,0,
57,"00:16:10,887 --> 00:16:15,484
","You wanna kill each other, kill each other!
But you ain't gonna do it on my beat!
",0.148482,0.000502,0.12338,0.75722,0.132603,0.224628,0.430006,0.387306,0.298356,0.532026,0,0,0,
58,"00:16:15,558 --> 00:16:17,560
",#NAME?,0.27694,0.331394,0.072367,0.12638,0.059172,0.637299,0.187867,0.692725,0.511747,0.446335,0.993749,0.994704,0,
59,"00:16:18,394 --> 00:16:20,897
","Would you mind translating
that into Spanish?
",0.368981,0.113801,0.178669,0.18243,0.183351,0.801936,0.356245,0.739857,0.572794,0.358617,0,0,0,
60,"00:16:23,024 --> 00:16:26,528
","Get your friends out of here, Bernardo.
",0.452191,0.085204,0.207873,0.222462,0.055472,0.289033,0.502778,0.764418,0.850425,0.553208,0,0,0,
61,"00:16:27,403 --> 00:16:28,905
","And stay out!
",0.21368,0.233123,0.192194,0.19646,0.104034,0.446781,0.346933,0.629846,0.681037,0.232248,0,0,0,
62,"00:16:34,410 --> 00:16:35,627
","Please.
",0,0.9,0,0,0,0.30735,0.274437,0.599488,0.543384,0.291211,0,0,0,
63,"00:16:37,914 --> 00:16:39,382
","Okay, Sharks.
",0.318138,0.128152,0.199567,0.19478,0.17782,0.273488,0.274451,0.599535,0.542943,0.292846,0,0,0,
64,"00:16:40,917 --> 00:16:42,134
","Vámonos.
",0,0,0,0,0,0.209547,0.274437,0.599409,0.542775,0.284273,0,0,0,
65,"00:16:51,594 --> 00:16:53,096
","Boy, oh boy!
",0.219058,0.334925,0.149393,0.073666,0.102581,0.261053,0.274463,0.599741,0.545294,0.30034,0,0,0,
66,"00:16:53,262 --> 00:16:56,232
","As if this neighborhood
wasn't crummy enough!
",0.523792,0.005768,0.18891,0.309684,0.131319,0.182377,0.040478,0.462364,0.503783,0.225012,0.931994,0,0,
67,"00:16:58,601 --> 00:17:00,603
","Now, look, fellas. Fellas!
",0.18628,0.325201,0.159317,0.10354,0.118495,0.377387,0.135464,0.612975,0.493141,0.389848,0,0,0,
68,"00:17:00,895 --> 00:17:02,772
","Look, let's be reasonable...
",0.114646,0.287288,0.187949,0.108395,0.234132,0.69298,0.321777,0.687409,0.618986,0.698418,0,0.984352,0,
69,"00:17:02,855 --> 00:17:05,404
","if I don't get a little law
and order around here...
",0.553691,0.007164,0.083278,0.430398,0.065214,0.800092,0.584107,0.774589,0.462839,0.232185,0.8686,0.932468,0,
70,"00:17:05,483 --> 00:17:08,077
","I get busted down to
a traffic corner...
",0.325084,0.015633,0.255669,0.493667,0.062243,0.043488,0.074157,0.54389,0.560971,0.474229,0,0,0,
71,"00:17:08,152 --> 00:17:10,621
","and your friend don't
like traffic corners.
",0.678699,0.012556,0.109455,0.15662,0.154874,0.242056,0.185363,0.518634,0.910239,0.510493,0,0.952443,0,
72,"00:17:10,696 --> 00:17:12,664
","So, that means you're gonna
start makin' nice...
",0.16038,0.488664,0.128582,0.043635,0.020135,0.011372,0.150226,0.664567,0.54279,0.210548,0,0,0,
73,"00:17:12,740 --> 00:17:14,742
","with the PR's from now on.
",0.302242,0.172701,0.161952,0.180417,0.161595,0.743172,0.41,0.408285,0.499049,0.681643,0,0,0,
74,"00:17:16,410 --> 00:17:18,162
","I said nice! Get it?
",0.100508,0.716655,0.014404,0.029105,0.01952,0.23076,0.571792,0.870361,0.16576,0.80034,0.965509,0,0,
75,"00:17:19,247 --> 00:17:20,965
","'Cause if you don't...
",0.389737,0.085532,0.306039,0.233069,0.026281,0.257814,0.351856,0.534392,0.52469,0.281085,0.982476,0,0,
76,"00:17:21,040 --> 00:17:24,965
","and I catch any of you doin' any
more brawlin' in my territory...
",0.227605,0.244786,0.157481,0.130806,0.173242,0.872871,0.146073,0.348057,0.460955,0.276521,0,0.993284,0,
77,"00:17:25,044 --> 00:17:27,718
","I'm gonna personally beat the livin'
crud out of each and every one of you...
",0.227304,0.120491,0.103502,0.272462,0.332846,0.771714,0.057426,0.576207,0.231968,0.184531,0,0,0.957479,
78,"00:17:27,797 --> 00:17:30,516
","and see that you go to
the can and rot there!
",0.365396,0.038537,0.267067,0.144612,0.305942,0.578223,0.696819,0.843273,0.521015,0.779392,0,0,0,
