dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
30,"00:03:46,351 --> 00:03:48,769
","♪ A sigh is just a sigh ♪

",0.929225,0.010736,0.029603,0.045013,0.03077,0.196171,0.113085,0.506753,0.163637,0.00082,0.0,0.946222,0.0
31,"00:03:52,398 --> 00:03:56,526
","♪ The fundamental things apply ♪

",0.084587,0.264483,0.330167,0.334809,0.050988,0.397904,0.294194,0.532127,0.526651,0.604174,0.30971,0.0,0.898327
32,"00:03:57,445 --> 00:03:59,446
","♪ As time goes by ♪

",0.502131,0.227838,0.168846,0.125789,0.033545,0.273065,0.352086,0.630888,0.60112,0.7771,0.0,0.0,0.0
33,"00:04:04,035 --> 00:04:06,536
","♪ And when two lovers woo ♪

",0.038437,0.700943,0.079425,0.054113,0.21791,0.339538,0.469892,0.690214,0.585663,0.43148,0.0,0.0,0.0
34,"00:04:07,288 --> 00:04:09,456
","♪ They still say ""I love you"" ♪

",0.617053,0.283461,0.034096,0.070104,0.036222,0.452617,0.637589,0.743147,0.219922,0.431941,0.0,0.0,0.0
35,"00:04:10,083 --> 00:04:12,584
","♪ On that you can rely ♪

",0.277986,0.428846,0.187651,0.084514,0.096598,0.127601,0.398472,0.597996,0.594051,0.640983,0.687768,0.0,0.0
36,"00:04:16,214 --> 00:04:20,133
","♪ No matter what the future brings ♪

",0.168448,0.80225,0.043576,0.018312,0.02623,0.307677,0.321853,0.503549,0.564118,0.619163,0.882284,0.0,0.0
37,"00:04:21,344 --> 00:04:23,428
","♪ As time goes by ♪

",0.502131,0.227838,0.168846,0.125789,0.033545,0.273065,0.352086,0.630888,0.60112,0.7771,0.0,0.0,0.0
38,"00:04:28,142 --> 00:04:30,727
","♪ Moonlight and love songs ♪

",0.290609,0.618292,0.088233,0.034299,0.011008,0.537887,0.272948,0.600178,0.569496,0.254363,0.0,0.0,0.0
39,"00:04:31,271 --> 00:04:33,146
","♪ Never out of date ♪

",0.305827,0.378892,0.25094,0.046232,0.070891,0.491087,0.421498,0.413312,0.564398,0.348117,0.0,0.0,0.898327
